iteration [];theta [°];theta [rad];Couple [Nm];omega [rad/s]
481;204.698300;3.572659;0.029858;104.305072
482;234.665040;4.095678;0.031751;104.603655
483;264.722741;4.620283;0.029825;104.921170
484;294.865883;5.146381;0.031636;105.219416
485;325.099654;5.674059;0.029558;105.535772
486;355.418105;6.203216;0.031306;105.831356
487;25.826241;0.450753;0.033003;106.144419
488;56.328924;0.983125;0.035782;106.474451
489;86.934116;1.517287;0.032667;106.832274
490;117.632893;2.053081;0.035258;107.158945
491;148.432677;2.590639;0.031612;107.511529
492;179.323022;3.129777;0.032466;107.827648
493;210.306376;3.670539;-0.001364;108.152306
494;241.285823;4.211232;0.000873;108.138670
495;272.267770;4.751969;0.002000;108.147398
496;303.255447;5.292806;0.005641;108.167396
497;334.259283;5.833925;0.007078;108.223806
498;5.283396;0.092213;0.011776;108.294583
499;36.341246;0.634274;0.012780;108.412348
500;67.435708;1.176975;0.015823;108.540149
501;98.575499;1.720467;0.017206;108.698376
502;129.764581;2.264819;0.018568;108.870434
503;161.006856;2.810100;0.019586;109.056112
504;192.305242;3.356360;0.022873;109.251976
505;223.669153;3.903763;0.022983;109.480704
506;255.098905;4.452316;0.025003;109.710532
507;286.600285;5.002119;0.028150;109.960559
508;318.182310;5.553329;0.028075;110.242062
509;349.844764;6.105943;0.028825;110.522815
510;21.589796;0.376813;0.028733;110.811068
511;53.417143;0.932305;0.031799;111.098399
512;85.335586;1.489387;0.029359;111.416386
513;117.338136;2.047937;0.035341;111.709973
514;149.441931;2.608254;0.030959;112.063383
515;181.634417;3.170119;0.001423;112.372976
516;213.830978;3.732055;0.006171;112.387201
517;246.045217;4.294299;0.012833;112.448907
518;278.296221;4.857185;0.016869;112.577240
519;310.595551;5.420915;0.018711;112.745932
520;342.948486;5.985580;0.023344;112.933045
521;15.368296;0.268227;0.025185;113.166488
522;47.860256;0.835319;0.028669;113.418335
523;80.434346;1.403844;0.027557;113.705024
524;113.087381;1.973747;0.033500;113.980596
525;145.836387;2.545325;0.033014;114.315595
526;178.679970;3.118554;0.033769;114.645732
527;211.620293;3.693471;0.000611;114.983420
528;244.562366;4.268419;0.009881;114.989526
529;277.532745;4.843860;0.015441;115.088336
530;310.547359;5.420074;0.018706;115.242743
531;343.615561;5.997223;0.022952;115.429799
532;16.749515;0.292334;0.027803;115.659317
533;49.963119;0.872021;0.028794;115.937350
534;83.259213;1.453147;0.030325;116.225294
535;116.642182;2.035790;0.036048;116.528545
536;150.128421;2.620235;-0.001652;116.889026
537;183.609929;3.204598;0.006427;116.872509
538;217.109847;3.789282;0.014634;116.936776
539;250.651689;4.374697;0.019922;117.083116
540;284.250603;4.961109;0.023105;117.282333
541;317.915707;5.548676;0.027855;117.513383
542;351.660609;6.137635;0.029378;117.791930
543;25.489674;0.444879;0.029252;118.085711
544;59.402540;1.036770;0.033380;118.378236
545;93.411033;1.630330;0.005231;118.712035
546;127.434512;2.224152;0.015831;118.764345
547;161.503342;2.818765;0.019838;118.922652
548;195.629004;3.414370;0.026701;119.121031
549;229.831159;4.011310;0.028847;119.388044
550;264.115955;4.609693;0.029329;119.676514
551;298.484772;5.209542;0.034094;119.969803
552;332.951262;5.811096;0.003144;120.310747
553;7.426758;0.129621;0.015806;120.342184
554;41.947537;0.732123;0.022502;120.500249
555;76.532779;1.335749;0.027626;120.725271
556;111.197163;1.940757;0.029572;121.001527
557;145.946265;2.547243;0.033088;121.297248
558;180.790159;3.155384;0.000107;121.628133
559;215.634358;3.763530;0.011177;121.629201
560;250.510576;4.372234;0.018687;121.740968
561;285.440330;4.981874;0.025371;121.927841
562;320.442767;5.592781;0.027565;122.181555
563;355.524173;6.205067;0.031243;122.457207
564;30.695083;0.535730;-0.000871;122.769639
565;65.863498;1.149535;0.012432;122.760927
566;101.067528;1.763961;0.019623;122.885247
567;136.327775;2.379369;0.027454;123.081480
568;171.666673;2.996149;0.029377;123.356023
569;207.089729;3.614398;0.032677;123.649792
570;242.606398;4.234280;0.003251;123.976564
571;278.132382;4.854326;0.016639;124.009078
572;313.706035;5.475203;0.023034;124.175472
573;349.345673;6.097232;0.028449;124.405807
574;25.066811;0.437498;0.029582;124.690293
575;60.872696;1.062429;0.000235;124.986117
576;96.679254;1.687371;0.013490;124.988465
577;132.524458;2.312988;0.023046;125.123368
578;168.435685;2.939757;0.028872;125.353831
579;204.429626;3.567970;0.030054;125.642555
580;240.509665;4.197686;-0.000389;125.943095
581;276.588591;4.827382;0.013301;125.939208
582;312.705620;5.457743;0.023158;126.072215
583;348.888992;6.089262;0.028708;126.303797
584;25.154608;0.439031;0.029515;126.590879
585;61.504778;1.073461;0.001217;126.886031
586;97.858433;1.707952;0.015990;126.898196
587;134.257898;2.343242;0.023117;127.058100
588;170.723586;2.979689;0.029624;127.289266
589;207.274140;3.617616;0.032651;127.585502
590;243.918233;4.257176;0.007102;127.912012
591;280.582671;4.897091;0.018573;127.983035
592;317.300318;5.537935;0.027868;128.168765
593;354.097800;6.180172;0.031060;128.447444
594;30.984261;0.540777;-0.000416;128.758040
595;67.869532;1.184547;0.016487;128.753883
596;104.802035;1.829141;0.024865;128.918755
